rowid,Name,IsFirst,PostSide,Pool,Result,Enemy
1,Tenpai,False,False,0,0,SnakeEyes
2,SnakeEyes,True,False,0,1,Tenpai
3,SnakeEyes,True,False,0,1,SnakeEyes
4,SnakeEyes,False,False,0,0,SnakeEyes
5,Tenpai,False,True,0,1,SnakeEyes
6,SnakeEyes,True,True,0,0,Tenpai
7,Labrynth2,True,False,0,1,SnakeEyes
8,SnakeEyes,False,False,0,0,Labrynth2
9,SnakeEyes,False,False,0,0,Labrynth
10,Labrynth,True,False,0,1,SnakeEyes
11,Tenpai,False,True,0,1,SnakeEyes
12,SnakeEyes,True,True,0,0,Tenpai
13,SnakeEyes,True,True,0,0,SnakeEyes
14,SnakeEyes,False,True,0,1,SnakeEyes
15,Tenpai,False,False,0,1,SnakeEyes
16,SnakeEyes,True,False,0,0,Tenpai
17,Labrynth2,True,True,0,0,SnakeEyes
18,SnakeEyes,False,True,0,1,Labrynth2
19,SnakeEyes,False,True,0,0,SnakeEyes
20,SnakeEyes,True,True,0,1,SnakeEyes
21,Tenpai,False,True,0,1,SnakeEyes
22,SnakeEyes,True,True,0,0,Tenpai
23,Labrynth2,False,True,0,1,SnakeEyes
24,SnakeEyes,True,True,0,0,Labrynth2
25,SnakeEyes,True,False,0,0,SnakeEyes
26,SnakeEyes,False,False,0,1,SnakeEyes
27,Labrynth,True,True,0,1,SnakeEyes
28,SnakeEyes,False,True,0,0,Labrynth
29,Tenpai,False,False,0,0,SnakeEyes
30,SnakeEyes,True,False,0,1,Tenpai
31,Labrynth2,True,False,0,1,SnakeEyes
32,SnakeEyes,False,False,0,0,Labrynth2
33,Tenpai,False,True,0,0,SnakeEyes
34,SnakeEyes,True,True,0,1,Tenpai
35,SnakeEyes,False,True,0,1,Labrynth2
36,Labrynth2,True,True,0,0,SnakeEyes
37,SnakeEyes,True,True,0,0,SnakeEyes
38,SnakeEyes,False,True,0,1,SnakeEyes
39,SnakeEyes,False,False,0,1,Labrynth
40,Labrynth,True,False,0,0,SnakeEyes
41,Tenpai,False,False,0,1,SnakeEyes
42,SnakeEyes,True,False,0,0,Tenpai
43,Labrynth2,False,True,0,1,SnakeEyes
44,SnakeEyes,True,True,0,0,Labrynth2
45,Labrynth2,True,False,0,1,SnakeEyes
46,SnakeEyes,False,False,0,0,Labrynth2
47,SnakeEyes,True,True,0,1,SnakeEyes
48,SnakeEyes,False,True,0,0,SnakeEyes
49,SnakeEyes,True,True,0,1,Tenpai
50,Tenpai,False,True,0,0,SnakeEyes
51,Tenpai,False,True,0,0,SnakeEyes
52,SnakeEyes,True,True,0,1,Tenpai
53,Labrynth,False,True,0,1,SnakeEyes
54,SnakeEyes,True,True,0,0,Labrynth
55,SnakeEyes,False,True,0,1,Labrynth2
56,Labrynth2,True,True,0,0,SnakeEyes
57,SnakeEyes,True,False,0,0,SnakeEyes
58,SnakeEyes,False,False,0,1,SnakeEyes
59,SnakeEyes,True,False,0,1,Tenpai
60,Tenpai,False,False,0,0,SnakeEyes
61,SnakeEyes,True,True,0,1,Tenpai
62,Tenpai,False,True,0,0,SnakeEyes
63,SnakeEyes,True,True,0,0,SnakeEyes
64,SnakeEyes,False,True,0,1,SnakeEyes
65,SnakeEyes,True,True,0,1,Labrynth2
66,Labrynth2,False,True,0,0,SnakeEyes
67,SnakeEyes,True,False,0,1,Tenpai
68,Tenpai,False,False,0,0,SnakeEyes
69,SnakeEyes,False,True,0,0,SnakeEyes
70,SnakeEyes,True,True,0,1,SnakeEyes
71,Labrynth,True,True,0,0,SnakeEyes
72,SnakeEyes,False,True,0,1,Labrynth
73,Tenpai,False,True,0,0,SnakeEyes
74,SnakeEyes,True,True,0,1,Tenpai
75,Labrynth2,False,False,0,0,SnakeEyes
76,SnakeEyes,True,False,0,1,Labrynth2
77,Labrynth,False,False,0,1,SnakeEyes
78,SnakeEyes,True,False,0,1,Tenpai
79,Tenpai,False,False,0,0,SnakeEyes
80,SnakeEyes,True,False,0,0,Labrynth
81,SnakeEyes,False,False,0,1,SnakeEyes
82,SnakeEyes,True,False,0,0,SnakeEyes
83,Labrynth2,False,True,0,1,SnakeEyes
84,SnakeEyes,True,True,0,0,Labrynth2
85,Tenpai,False,True,0,1,SnakeEyes
86,SnakeEyes,True,True,0,0,Tenpai
87,SnakeEyes,False,True,0,1,Labrynth
88,Labrynth,True,True,0,0,SnakeEyes
89,Labrynth2,True,True,0,1,SnakeEyes
90,SnakeEyes,False,True,0,0,Labrynth2
91,SnakeEyes,True,True,0,0,Tenpai
92,Tenpai,False,True,0,1,SnakeEyes
93,SnakeEyes,False,True,0,0,SnakeEyes
94,SnakeEyes,True,True,0,1,SnakeEyes
95,Tenpai,False,False,0,0,SnakeEyes
96,SnakeEyes,True,False,0,1,Tenpai
97,SnakeEyes,True,True,0,0,Tenpai
98,Tenpai,False,True,0,1,SnakeEyes
99,SnakeEyes,True,True,0,0,Labrynth
100,Labrynth,False,True,0,1,SnakeEyes
101,SnakeEyes,False,False,0,1,SnakeEyes
102,SnakeEyes,True,False,0,0,SnakeEyes
103,SnakeEyes,True,True,0,1,Tenpai
104,Tenpai,False,True,0,0,SnakeEyes
105,SnakeEyes,False,False,0,0,Labrynth
