CardId,WinRate
Borreload Furious Dragon,1
One for One,1
Snake-Eyes Diabellstar,0.9047619047619048
Divine Temple of the Snake-Eye,0.9
"Dharc the Dark Charmer, Gloomy",0.8888888888888888
Salamangreat Raging Phoenix,0.8571428571428571
Snake-Eye Oak,0.8571428571428571
Snake-Eyes Flamberge Dragon,0.8571428571428571
Titaniklad the Ash Dragon,0.8571428571428571
Bonfire,0.8461538461538461
Snake-Eye Ash,0.8461538461538461
D/D/D Wave High King Caesar,0.8333333333333334
"Apollousa, Bow of the Goddess",0.8181818181818182
Snake-Eyes Poplar,0.8181818181818182
Diabellstar the Black Witch,0.8076923076923077
Gimmick Puppet Nightmare,0.8
"Promethean Princess, Bestower of Flames",0.8
Worldsea Dragon Zealantis,0.8
WANTED: Seeker of Sinful Spoils,0.7857142857142857
Original Sinful Spoils - Snake-Eye,0.782608695652174
Crossout Designator,0.7777777777777778
Fiendsmith Requiem,0.76
Alba-Lenatus the Abyss Dragon,0.75
"Beatrice, Lady of the Eternal",0.75
Gozen Match,0.75
I:P Masquerena,0.75
The Fiendsmith,0.75
Fusion Duplication,0.7272727272727273
Rindbrumm the Striking Dragon,0.7142857142857143
Fiendsmith Sequentia,0.7083333333333334
Fiendsmith Tractus,0.7037037037037037
"Guiding Quem, the Virtuous",0.7
Branded in Red,0.6923076923076923
Mirrorjade the Iceblade Dragon,0.6923076923076923
Relinquished Anima,0.6923076923076923
Fabled Lurrie,0.6896551724137931
Fiendsmith Lacrimosa,0.6842105263157895
"Blazing Cartesia, the Virtuous",0.6666666666666666
Branded Lost,0.6666666666666666
Called by the Grave,0.6666666666666666
Enigmaster Packbit,0.6666666666666666
Fiendsmith Dies Irae,0.6666666666666666
Foolish Burial,0.6666666666666666
Triple Tactics Talent,0.6666666666666666
Unchained Soul of Anguish,0.6666666666666666
Sangenpai Bident Dragion,0.6538461538461539
"Hiita the Fire Charmer, Ablaze",0.6470588235294118
Runick Golden Droplet,0.6428571428571429
Tenpai Dragon Fadra,0.64
Branded Fusion,0.625
Tri-Brigade Mercourier,0.625
Albion the Sanctifire Dragon,0.6190476190476191
Fallen of Albaz,0.6153846153846154
Albion the Shrouded Dragon,0.6111111111111112
Labrynth Set-Up,0.6111111111111112
Sangenpai Transcendent Dragion,0.6111111111111112
Albion the Branded Dragon,0.6
Freki the Runick Fangs,0.6
Geri the Runick Fangs,0.6
Synchro Zone,0.6
Aluber the Jester of Despia,0.5882352941176471
Majesty's Fiend,0.5882352941176471
Chaos Angel,0.5833333333333334
Draw Muscle,0.5833333333333334
