ACTION,ACTIVATED, PlayerField 0, EnemyField 0,PlayerHand Pot of Greed ,PlayerHand Man-Eater Bug ,PlayerHand Alexandrite Dragon ,PlayerHand Cyber Dragon ,PlayerHand Exiled Force ,PlayerHand The Tricky , PlayerField 1,PlayerHand Block Attack , PlayerField 2, EnemyField 1,PlayerHand Noble Knight Artorigus ,EnemyHand Mekk-Knight Avram ,EnemyHand Luster Dragon , EnemyField 2,EnemyHand Sabersaurus ,EnemyHand Cyber Dragon ,PlayerHand Snowman Eater ,PlayerHand Wind-Up Soldier ,EnemyHand Wind-Up Soldier , PlayerField 3,PlayerHand Mekk-Knight Avram ,PlayerHand Sabersaurus ,PlayerHand Stop Defense ,EnemyHand Alexandrite Dragon ,EnemyHand The Tricky ,PlayerHand Luster Dragon ,EnemyHand FaceDownDefence ,EnemyHand Man-Eater Bug ,EnemyHand Exiled Force ,EnemyHand Noble Knight Artorigus ,EnemyHand Snowman Eater , EnemyField 3, EnemyField 4
Man-Eater Bug;Main1 MonsterSet,False,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,True,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Man-Eater Bug;Main1 MonsterSet,False,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
